Player,Post_Ups
Draymond Green,2.8
Drew Eubanks,1.0
Duncan Robinson,0.0
Dusty Hannahs,0.0
Dwayne Bacon,0.2
Dwight Howard,0.8
Dwight Powell,0.1
Dzanan Musa,0.0
E'Twaun Moore,0.0
Ed Davis,0.1
Edmond Sumner,0.0
Elfrid Payton,0.1
Elie Okobo,0.0
Emmanuel Mudiay,0.2
Enes Kanter,2.7
Eric Bledsoe,0.3
Eric Gordon,0.3
Eric Mika,0.0
Eric Paschall,2.9
Ersan Ilyasova,0.3
Evan Fournier,0.1
Evan Turner,0.6
Frank Jackson,0.0
Frank Kaminsky,1.3
Frank Mason,0.0
Frank Ntilikina,0.0
Fred VanVleet,0.0
Furkan Korkmaz,0.0
Gabe Vincent,0.0
Garrett Temple,0.1
Garrison Mathews,0.0
Gary Clark,0.0
Gary Harris,0.0
Gary Payton II,0.1
Gary Trent Jr.,0.1
George Hill,0.1
Georges Niang,0.1
Giannis Antetokounmpo,4.4
Glenn Robinson III,0.1
Goga Bitadze,0.3
Goran Dragic,0.3
Gordon Hayward,0.3
Gorgui Dieng,0.9
Grant Williams,0.4
Grayson Allen,0.0
Hamidou Diallo,0.1
Harrison Barnes,3.9
Harry Giles III,1.0
Hassan Whiteside,2.7
Henry Ellenson,0.0
Ian Mahinmi,0.3
Ignas Brazdeikis,0.1
Iman Shumpert,0.0
Isaac Bonga,0.0
Isaiah Hartenstein,0.3
Isaiah Roby,0.0
Isaiah Thomas,0.0
Ish Smith,0.0
Ivica Zubac,0.7
J.J. Barea,0.0
J.P. Macura,0.0
JJ Redick,0.0
JR Smith,0.0
Ja Morant,0.0
JaKarr Sampson,0.2
JaMychal Green,0.4
JaVale McGee,0.9
Jabari Parker,1.2
Jacob Evans,0.1
Jae Crowder,0.3
Jahlil Okafor,2.9
Jake Layman,0.2
Jakob Poeltl,0.9
Jalen Brunson,0.0
Jalen Lecque,0.0
Jalen McDaniels,0.4
Jamal Crawford,0.0
Jamal Murray,0.4
James Ennis III,0.1
James Harden,0.8
James Johnson,0.3
Jared Dudley,0.1
Jared Harper,0.0
Jaren Jackson Jr.,3.0
Jarred Vanderbilt,0.0
Jarrell Brantley,0.2
Jarrett Allen,0.2
Jarrett Culver,0.1
Jarrod Uthoff,0.3
Javonte Green,0.0
Jaxson Hayes,0.2
Jaylen Brown,1.1
Jaylen Hoard,0.0
Jaylen Nowell,0.0
Jayson Tatum,1.5
Jeff Green,0.3
Jeff Teague,0.1
Jerami Grant,1.3
Jeremiah Martin,0.0
Jeremy Lamb,0.1
Jeremy Pargo,0.0
Jerian Grant,0.0
Jerome Robinson,0.0
Jevon Carter,0.0
Jimmy Butler,3.1
Joakim Noah,1.8
Joe Chealey,0.0
Joe Harris,0.1
Joe Ingles,0.1
Joel Embiid,9.8
John Collins,1.7
John Henson,0.4
John Konchar,0.1
Johnathan Motley,0.2
Johnathan Williams,0.1
Jonah Bolden,0.1
Jonas Valanciunas,4.5
Jonathan Isaac,0.9
Jordan Bell,0.3
Jordan Bone,0.0
Jordan Clarkson,0.2
Jordan McLaughlin,0.0
Jordan McRae,0.0
Jordan Poole,0.0
Josh Gray,0.0
Josh Hart,0.1
Josh Jackson,0.1
Josh Magette,0.0
Josh Okogie,0.0
Josh Reaves,0.0
Josh Richardson,0.1
Jrue Holiday,0.3
Juan Toscano-Anderson,0.2
Juancho Hernangomez,0.2
Julius Randle,4.8
Justin Anderson,0.1
Justin Holiday,0.0
Justin Jackson,0.0
Justin James,0.0
Justin Patton,0.2
Justin Robinson,0.0
Justin Wright-Foreman,0.0
Justise Winslow,0.9
Jusuf Nurkic,5.4
Juwan Morgan,0.0
KZ Okpala,0.0
Kadeem Allen,0.0
Karl-Anthony Towns,7.9
Kawhi Leonard,4.6
Keita Bates-Diop,0.0
Kelan Martin,0.0
Keldon Johnson,0.1
Kelly Olynyk,0.8
Kelly Oubre Jr.,0.1
Kemba Walker,0.0
Kendrick Nunn,0.1
Kenrich Williams,0.0
Kent Bazemore,0.2
Kentavious Caldwell-Pope,0.0
Kevin Hervey,0.1
Kevin Huerter,0.0
Kevin Knox II,0.1
Kevin Love,6.8
Kevin Porter Jr.,0.1
Kevon Looney,1.3
Khem Birch,0.5
Khris Middleton,2.2
Khyri Thomas,0.0
Kostas Antetokounmpo,0.0
Kris Dunn,0.1
Kristaps Porzingis,3.4
Ky Bowman,0.1
Kyle Alexander,0.0
Kyle Anderson,0.2
Kyle Guy,0.0
Kyle Korver,0.0
Kyle Kuzma,1.0
Kyle Lowry,0.1
Kyle O'Quinn,0.7
Kyrie Irving,0.3
LaMarcus Aldridge,9.7
Lance Thomas,0.0
Landry Shamet,0.0
Langston Galloway,0.0
Larry Nance Jr.,1.4
Lauri Markkanen,1.0
LeBron James,3.9
Lonnie Walker IV,0.0
Lonzo Ball,0.2
Lou Williams,0.0
Louis King,0.0
Luc Mbah a Moute,0.0
Luguentz Dort,0.0
Luka Doncic,1.2
Luka Samanic,0.7
Luke Kennard,0.0
Luke Kornet,0.2
Malcolm Brogdon,0.3
Malcolm Miller,0.0
Malik Beasley,0.0
Malik Monk,0.0
Malik Newman,0.0
Marc Gasol,2.1
Marco Belinelli,0.0
Marcus Morris Sr.,2.2
Marcus Smart,0.9
Marial Shayok,0.0
Mario Hezonja,0.1
Markelle Fultz,0.3
Markieff Morris,1.9
Marko Guduric,0.0
Marques Bolden,0.0
Marquese Chriss,1.9
Marvin Bagley III,3.0
Marvin Williams,1.2
Mason Plumlee,2.4
Matisse Thybulle,0.0
Matt Mooney,0.0
Matt Thomas,0.0
Matthew Dellavedova,0.2
Maurice Harkless,0.3
Max Strus,0.0
Maxi Kleber,0.2
Melvin Frazier Jr.,0.0
Meyers Leonard,0.6
Mfiondu Kabengele,0.3
Michael Carter-Williams,0.1
Michael Frazier II,0.0
Michael Kidd-Gilchrist,0.1
Michael Porter Jr.,0.4
Mikal Bridges,0.2
Mike Conley,0.0
Mike Muscala,0.1
Mike Scott,0.5
Miles Bridges,1.7
Mitchell Robinson,0.2
Miye Oni,0.1
Mo Bamba,0.3
Monte Morris,0.1
Montrezl Harrell,4.3
Moritz Wagner,0.6
Moses Brown,0.2
Mychal Mulder,0.3
Myles Turner,2.2
Nassir Little,0.1
Naz Mitrou-Long,0.0
Naz Reid,1.2
Nemanja Bjelica,2.6
Nerlens Noel,0.1
Nickeil Alexander-Walker,0.0
Nicolas Batum,0.1
Nicolas Claxton,0.1
Nicolo Melli,0.8
Nigel Williams-Goss,0.0
Nikola Jokic,8.1
Nikola Vucevic,8.1
Noah Vonleh,0.9
Norman Powell,0.0
Norvel Pelle,0.2
OG Anunoby,0.8
Omari Spellman,2.5
Oshae Brissett,0.0
Otto Porter Jr.,0.2
P.J. Tucker,0.0
P.J. Washington,3.7
PJ Dozier,0.0
Pascal Siakam,3.9
Pat Connaughton,0.0
Patrick Beverley,0.0
Patrick McCaw,0.0
Patrick Patterson,0.4
Patty Mills,0.0
Paul George,1.4
Paul Millsap,2.2
Paul Watson,0.0
Quinn Cook,0.0
Quinndary Weatherspoon,0.0
RJ Barrett,0.8
Rajon Rondo,0.1
Raul Neto,0.0
Rayjon Tucker,0.1
Reggie Bullock,0.0
Reggie Jackson,0.1
Richaun Holmes,1.0
Ricky Rubio,0.1
Robert Covington,0.0
Robert Williams III,0.1
Robin Lopez,1.6
Rodions Kurucs,0.1
Rodney Hood,1.1
Rodney McGruder,0.0
Romeo Langford,0.1
Rondae Hollis-Jefferson,1.8
Royce O'Neale,0.0
Rudy Gay,1.6
Rudy Gobert,0.7
Rui Hachimura,1.8
Russell Westbrook,1.1
Ryan Anderson,0.0
Ryan Arcidiacono,0.0
Ryan Broekhoff,0.0
Sekou Doumbouya,0.3
Semi Ojeleye,0.1
Serge Ibaka,1.6
Seth Curry,0.0
Shabazz Napier,0.0
Shai Gilgeous-Alexander,0.0
Shake Milton,0.0
Shamorie Ponds,0.0
Shaquille Harrison,0.0
Sindarius Thornwell,0.0
Skal Labissiere,0.9
Solomon Hill,0.3
Spencer Dinwiddie,0.2
Stanley Johnson,0.1
Stanton Kidd,0.0
Stephen Curry,0.0
Sterling Brown,0.1
Steven Adams,3.9
Svi Mykhailiuk,0.0
T.J. Leaf,0.4
T.J. McConnell,0.1
T.J. Warren,0.6
Tacko Fall,1.3
Taj Gibson,0.9
Talen Horton-Tucker,0.0
Tariq Owens,0.0
Taurean Prince,0.1
Terance Mann,0.0
Terence Davis,0.0
Terrance Ferguson,0.0
Terrence Ross,0.0
Terry Rozier,0.0
Thabo Sefolosha,0.0
Thaddeus Young,1.5
Thanasis Antetokounmpo,0.1
Theo Pinson,0.0
Thomas Bryant,1.0
Thon Maker,0.3
Tim Frazier,0.0
Tim Hardaway Jr.,0.2
Timothe Luwawu-Cabarrot,0.0
Tobias Harris,2.5
Tomas Satoransky,0.3
Tony Bradley,0.2
Tony Snell,0.0
Torrey Craig,0.1
Trae Young,0.0
Tremont Waters,0.0
Treveon Graham,0.1
Trevor Ariza,0.3
Trey Burke,0.0
Trey Lyles,0.1
Tristan Thompson,2.5
Troy Brown Jr.,0.1
Troy Daniels,0.0
Ty Jerome,0.0
Tyler Cook,0.3
Tyler Herro,0.1
Tyler Johnson,0.2
Tyler Zeller,0.0
Tyrone Wallace,0.1
Tyson Chandler,0.1
Tyus Jones,0.0
Udonis Haslem,0.3
Vic Law,0.0
Victor Oladipo,0.0
Vince Carter,0.5
Vincent Poirier,0.2
Vlatko Cancar,0.0
Wayne Ellington,0.0
Wendell Carter Jr.,1.8
Wenyen Gabriel,0.1
Wes Iwundu,0.0
Wesley Matthews,0.1
Will Barton,0.1
William Howard,0.0
Willie Cauley-Stein,1.9
Willy Hernangomez,2.6
Wilson Chandler,0.1
Yogi Ferrell,0.0
Yuta Watanabe,0.0
Zach Collins,1.5
Zach LaVine,0.3
Zach Norvell Jr.,0.2
Zhaire Smith,0.0
Zion Williamson,6.9
Zylan Cheatham,0.0
