Player,Pos
Jordan Clarkson\clarkjo01,SG
John Collins\collijo01,PF
Zach Collins\colliza01,C
Darren Collison\collida01,PG
Bonzie Colson\colsobo01,SF
Mike Conley\conlemi01,PG
Pat Connaughton\connapa01,SG
Quinn Cook\cookqu01,PG
DeMarcus Cousins\couside01,C
Robert Covington\covinro01,SF
Allen Crabbe\crabbal01,SG
Torrey Craig\craigto01,SF
Jamal Crawford\crawfja01,SG
Mitch Creek\creekmi01,SF
Jae Crowder\crowdja01,SF
Dante Cunningham\cunnida01,PF
Seth Curry\curryse01,SG
Stephen Curry\curryst01,PG
Troy Daniels\danietr01,SG
Anthony Davis\davisan02,C
Deyonta Davis\davisde01,C
Ed Davis\davised01,C
Tyler Davis\davisty01,C
Dewayne Dedmon\dedmode01,C
Sam Dekker\dekkesa01,PF
Ángel Delgado\delgaan01,C
Matthew Dellavedova\dellama01,PG
Luol Deng\denglu01,SF
DeMar DeRozan\derozde01,SG
Marcus Derrickson\derrima01,PF
Cheick Diallo\diallch01,PF
Hamidou Diallo\diallha01,SG
Gorgui Dieng\dienggo01,C
Spencer Dinwiddie\dinwisp01,PG
Donte DiVincenzo\divindo01,SG
Luka Dončić\doncilu01,SG
Tyler Dorsey\dorsety01,SG
Damyean Dotson\dotsoda01,SG
PJ Dozier\doziepj01,SG
Goran Dragić\dragigo01,PG
Andre Drummond\drumman01,C
Jared Dudley\dudleja01,PF
Kris Dunn\dunnkr01,PG
Kevin Durant\duranke01,SF
Trevon Duval\duvaltr01,PG
Vince Edwards\edwarvi01,SF
Henry Ellenson\ellenhe01,PF
Wayne Ellington\ellinwa01,SG
Joel Embiid\embiijo01,C
James Ennis\ennisja01,SF
Drew Eubanks\eubandr01,PF
Jacob Evans\evansja02,SG
Jawun Evans\evansja01,PG
Tyreke Evans\evansty01,SG
Dante Exum\exumda01,PG
Kenneth Faried\farieke01,C
Derrick Favors\favorde01,C
Cristiano Felício\feliccr01,C
Raymond Felton\feltora01,PG
Terrance Ferguson\fergute01,SG
Yogi Ferrell\ferreyo01,PG
Dorian Finney-Smith\finnedo01,SF
Bryn Forbes\forbebr01,SG
Evan Fournier\fournev01,SG
De'Aaron Fox\foxde01,PG
Melvin Frazier\frazime01,SG
Tim Frazier\fraziti01,PG
Jimmer Fredette\fredeji01,SG
Channing Frye\fryech01,C
Markelle Fultz\fultzma01,SG
Danilo Gallinari\gallida01,SF
Langston Galloway\gallola01,SG
Billy Garrett\garrebi01,SG
Marc Gasol\gasolma01,C
Pau Gasol\gasolpa01,C
Rudy Gay\gayru01,PF
Paul George\georgpa01,SF
Taj Gibson\gibsota01,PF
Harry Giles\gilesha01,PF
Shai Gilgeous-Alexander\gilgesh01,PG
Rudy Gobert\goberru01,C
Brandon Goodwin\goodwbr01,PG
Aaron Gordon\gordoaa01,PF
Eric Gordon\gordoer01,SG
Marcin Gortat\gortama01,C
Devonte' Graham\grahade01,PG
Treveon Graham\grahatr01,SG
Jerami Grant\grantje01,PF
Jerian Grant\grantje02,PG
Donte Grantham\grantdo01,SF
Danny Green\greenda02,SG
Draymond Green\greendr01,PF
Gerald Green\greenge01,SG
JaMychal Green\greenja01,PF
Jeff Green\greenje02,PF
Blake Griffin\griffbl01,PF
Daniel Hamilton\hamilda02,SG
Dusty Hannahs\hannadu01,SG
Tim Hardaway Jr.\hardati02,SG
James Harden\hardeja01,PG
Maurice Harkless\harklma01,SF
Montrezl Harrell\harremo01,C
Devin Harris\harride01,PG
Gary Harris\harriga01,SG
Joe Harris\harrijo01,SG
Tobias Harris\harrito02,PF
Andrew Harrison\harrian01,PG
Shaquille Harrison\harrish01,SG
Josh Hart\hartjo01,SG
Isaiah Hartenstein\harteis01,PF
Udonis Haslem\hasleud01,C
Gordon Hayward\haywago01,PF
John Henson\hensojo01,C
Juan Hernangómez\hernaju01,PF
Willy Hernangómez\hernawi01,C
Mario Hezonja\hezonma01,SF
Isaiah Hicks\hicksis01,PF
Buddy Hield\hieldbu01,SG
Haywood Highsmith\highsha01,SF
Nenê\hilarne01,C
George Hill\hillge01,PG
Solomon Hill\hillso01,SF
Aaron Holiday\holidaa01,PG
Jrue Holiday\holidjr01,SG
Justin Holiday\holidju01,SG
John Holland\hollajo02,SF
Rondae Hollis-Jefferson\holliro01,SF
Richaun Holmes\holmeri01,C
Rodney Hood\hoodro01,SG
Al Horford\horfoal01,C
Danuel House\houseda01,SF
Dwight Howard\howardw01,C
Kevin Huerter\huertke01,SG
Isaac Humphries\humphis01,C
R.J. Hunter\hunterj01,SG
Chandler Hutchison\hutchch01,SF
Serge Ibaka\ibakase01,C
Andre Iguodala\iguodan01,SF
Ersan İlyasova\ilyaser01,PF
Joe Ingles\inglejo01,PF
Andre Ingram\ingraan01,SG
Brandon Ingram\ingrabr01,SF
Kyrie Irving\irvinky01,PG
Jonathan Isaac\isaacjo01,PF
Wesley Iwundu\iwundwe01,SF
Demetrius Jackson\jacksde01,PG
Frank Jackson\jacksfr01,PG
Jaren Jackson Jr.\jacksja02,PF
Josh Jackson\jacksjo02,SG
Justin Jackson\jacksju01,SF
Reggie Jackson\jacksre01,PG
LeBron James\jamesle01,SF
Amile Jefferson\jeffeam01,PF
John Jenkins\jenkijo01,SG
Jonas Jerebko\jerebjo01,PF
Alize Johnson\johnsal02,PF
Amir Johnson\johnsam01,C
B.J. Johnson\johnsbj01,SF
James Johnson\johnsja01,PF
Stanley Johnson\johnsst04,SF
Tyler Johnson\johnsty01,PG
Wesley Johnson\johnswe01,SF
Nikola Jokić\jokicni01,C
Damian Jones\jonesda03,C
Derrick Jones Jr.\jonesde02,SF
Jalen Jones\jonesja04,SF
Jemerrio Jones\jonesje01,SF
Terrence Jones\joneste01,PF
Tyus Jones\jonesty01,PG
DeAndre Jordan\jordade01,C
Cory Joseph\josepco01,PG
Frank Kaminsky\kaminfr01,C
Enes Kanter\kanteen01,C
Luke Kennard\kennalu01,SG
Michael Kidd-Gilchrist\kiddgmi01,PF
George King\kingge03,SF
Maxi Kleber\klebima01,PF
Brandon Knight\knighbr03,PG
Kevin Knox\knoxke01,PF
Furkan Korkmaz\korkmfu01,SG
Luke Kornet\kornelu01,PF
Kyle Korver\korveky01,SG-PF
Kosta Koufos\koufoko01,C
Rodions Kurucs\kurucro01,SF
Kyle Kuzma\kuzmaky01,PF
Skal Labissière\labissk01,PF
Jeremy Lamb\lambje01,SG
Zach LaVine\lavinza01,SG
Jake Layman\laymaja01,SF
T.J. Leaf\leaftj01,PF
Courtney Lee\leeco01,SG
Damion Lee\leeda03,SG
Walt Lemon Jr.\lemonwa01,PG
Alex Len\lenal01,C
Kawhi Leonard\leonaka01,SF
Meyers Leonard\leoname01,C
Jon Leuer\leuerjo01,PF
Caris LeVert\leverca01,SF
Damian Lillard\lillada01,PG
Jeremy Lin\linje01,PG
Shaun Livingston\livinsh01,PG
Zach Lofton\loftoza01,SG
Kevon Looney\looneke01,C
Brook Lopez\lopezbr01,C
Robin Lopez\lopezro01,C
Kevin Love\loveke01,PF
Kyle Lowry\lowryky01,PG
Jordan Loyd\loydjo01,PG
Kalin Lucas\lucaska01,PG
Timothé Luwawu-Cabarrot\luwawti01,SF
Tyler Lydon\lydonty01,PF
Trey Lyles\lylestr01,PF
Scott Machado\machasc01,PG
Shelvin Mack\macksh01,PG
Daryl Macon\maconda01,SG
J.P. Macura\macurjp01,SG
Ian Mahinmi\mahinia01,C
Thon Maker\makerth01,C-PF
Boban Marjanović\marjabo01,C
Lauri Markkanen\markkla01,PF
Jarell Martin\martija01,PF
Frank Mason III\masonfr01,PG
Yante Maten\matenya01,PF
Wesley Matthews\matthwe02,SF-SG
Luc Mbah a Moute\mbahalu01,PF
Tahjere McCall\mccalta01,SG
Patrick McCaw\mccawpa01,SG
CJ McCollum\mccolcj01,SG
T.J. McConnell\mccontj01,PG
Doug McDermott\mcderdo01,SF
JaVale McGee\mcgeeja01,C
Rodney McGruder\mcgruro01,SG
Alfonzo McKinnie\mckinal01,SF
Ben McLemore\mclembe01,SG
Jordan McRae\mcraejo01,SG
Jodie Meeks\meeksjo01,SG
Salah Mejri\mejrisa01,C
De'Anthony Melton\meltode01,PG
Chimezie Metu\metuch01,PF
Khris Middleton\middlkh01,SF
C.J. Miles\milescj01,SF
Darius Miller\milleda01,SF
Malcolm Miller\millema01,SF
Patty Mills\millspa02,PG
Paul Millsap\millspa01,PF
Shake Milton\miltosh01,SG
Nikola Mirotić\mirotni01,PF
Donovan Mitchell\mitchdo01,SG
Naz Mitrou-Long\mitrona01,SG
Malik Monk\monkma01,SG
Greg Monroe\monrogr01,C
E'Twaun Moore\mooreet01,SG
Eric Moreland\moreler01,PF
Jaylen Morris\morrija01,SG
Marcus Morris\morrima03,PF
Markieff Morris\morrima02,PF
Monte Morris\morrimo01,PG
Donatas Motiejūnas\motiedo01,PF
Johnathan Motley\motlejo01,PF
Emmanuel Mudiay\mudiaem01,PG
Jamal Murray\murraja01,PG
Džanan Musa\musadz01,SG
Mike Muscala\muscami01,PF
Sviatoslav Mykhailiuk\mykhasv01,SF
Abdel Nader\naderab01,SF
Larry Nance Jr.\nancela02,C
Shabazz Napier\napiesh01,PG
Raul Neto\netora01,PG
Georges Niang\niangge01,PF
Joakim Noah\noahjo01,C
Nerlens Noel\noelne01,C
Dirk Nowitzki\nowitdi01,PF
Frank Ntilikina\ntilila01,PG
James Nunnally\nunnaja01,SF
Jusuf Nurkić\nurkiju01,C
David Nwaba\nwabada01,SF
Royce O'Neale\onealro01,SF
Kyle O'Quinn\oquinky01,C
Semi Ojeleye\ojelese01,PF
Jahlil Okafor\okafoja01,C
Elie Okobo\okoboel01,PG
Josh Okogie\okogijo01,SG
Victor Oladipo\oladivi01,SG
Kelly Olynyk\olynyke01,PF
Cedi Osman\osmande01,SF
Kelly Oubre Jr.\oubreke01,SF
Zaza Pachulia\pachuza01,C
Jabari Parker\parkeja01,PF
Tony Parker\parketo01,PG
Chandler Parsons\parsoch01,SF
Patrick Patterson\pattepa01,PF
Justin Patton\pattoju01,C
Chris Paul\paulch01,PG
Cameron Payne\payneca01,PG
Elfrid Payton\paytoel01,PG
Gary Payton II\paytoga02,PG
Theo Pinson\pinsoth01,SG
Mason Plumlee\plumlma01,C
Miles Plumlee\plumlmi01,C
Jakob Poeltl\poeltja01,C
Quincy Pondexter\pondequ01,SF
Otto Porter\porteot01,SF
Bobby Portis\portibo01,PF
Dwight Powell\poweldw01,C
Norman Powell\powelno01,SG
Alex Poythress\poythal01,PF
Taurean Prince\princta02,SF
Zhou Qi\qizh01,PF
Ivan Rabb\rabbiv01,PF
Chasson Randle\randlch01,PG
Julius Randle\randlju01,PF
J.J. Redick\redicjj01,SG
Davon Reed\reedda01,SG
Cameron Reynolds\reynoca01,SG
Josh Richardson\richajo01,SG
Malachi Richardson\richama01,SG
Austin Rivers\riverau01,SG
Devin Robinson\robinde01,SF
Duncan Robinson\robindu01,SF
Glenn Robinson III\robingl02,SF
Jerome Robinson\robinje01,SG
Mitchell Robinson\robinmi01,C
Rajon Rondo\rondora01,PG
Derrick Rose\rosede01,PG
Terrence Ross\rosste01,SG
Terry Rozier\roziete01,PG
Ricky Rubio\rubiori01,PG
D'Angelo Russell\russeda01,PG
Domantas Sabonis\sabondo01,C
Brandon Sampson\sampsbr01,SG
JaKarr Sampson\sampsja02,SF
Dario Šarić\saricda01,PF
Tomáš Satoranský\satorto01,PG
Dennis Schröder\schrode01,PG
Mike Scott\scottmi01,PF
Thabo Sefolosha\sefolth01,SF
Wayne Selden\seldewa01,SG
Collin Sexton\sextoco01,PG
Landry Shamet\shamela01,SG
Iman Shumpert\shumpim01,SG
Pascal Siakam\siakapa01,PF
Jordan Sibert\siberjo01,SG
Ben Simmons\simmobe01,PG
Jonathon Simmons\simmojo02,SG-SF
Kobi Simmons\simmoko01,PG
Anfernee Simons\simonan01,SG
Marcus Smart\smartma01,SG
Dennis Smith Jr.\smithde03,PG
Ish Smith\smithis01,PG
J.R. Smith\smithjr01,SG
Jason Smith\smithja02,PF-C
Zhaire Smith\smithzh01,SG
Tony Snell\snellto01,SF
Ray Spalding\spaldra01,PF
Omari Spellman\spellom01,PF
Nik Stauskas\stausni01,SG
D.J. Stephens\stephdj01,SG
Lance Stephenson\stephla01,SG
Edmond Sumner\sumneed01,PG
Caleb Swanigan\swanica01,PF
Jayson Tatum\tatumja01,SF
Jeff Teague\teaguje01,PG
Garrett Temple\templga01,SG
Miloš Teodosić\teodomi01,PG
Jared Terrell\terreja01,SG
Emanuel Terry\terryem01,PF
Daniel Theis\theisda01,C
Isaiah Thomas\thomais02,SG
Khyri Thomas\thomakh01,SG
Lance Thomas\thomala01,PF
Klay Thompson\thompkl01,SG
Tristan Thompson\thomptr01,C
Sindarius Thornwell\thornsi01,SG
Anthony Tolliver\tollian01,PF
Karl-Anthony Towns\townska01,C
Gary Trent Jr.\trentga02,SG
Allonzo Trier\trieral01,SG
P.J. Tucker\tuckepj01,PF
Evan Turner\turneev01,PG
Myles Turner\turnemy01,C
Ekpe Udoh\udohek01,C
Tyler Ulis\ulisty01,PG
Jonas Valančiūnas\valanjo01,C
Jarred Vanderbilt\vandeja01,PF
Fred VanVleet\vanvlfr01,PG
Noah Vonleh\vonleno01,PF
Nikola Vučević\vucevni01,C
Dwyane Wade\wadedw01,SG
Moritz Wagner\wagnemo01,C
Dion Waiters\waitedi01,SG
Kemba Walker\walkeke02,PG
Lonnie Walker\walkelo01,SG
John Wall\walljo01,PG
Tyrone Wallace\wallaty01,PG
Brad Wanamaker\wanambr01,PG
T.J. Warren\warretj01,SF
Julian Washburn\washbju01,SF
Yuta Watanabe\watanyu01,SF
Thomas Welsh\welshth01,C
Russell Westbrook\westbru01,PG
Derrick White\whitede01,PG
Okaro White\whiteok01,PF
Hassan Whiteside\whiteha01,C
Andrew Wiggins\wiggian01,SF
Alan Williams\willial03,PF
C.J. Williams\willicj01,SG
Johnathan Williams\willijo04,C
Kenrich Williams\willike04,SF
Lou Williams\willilo02,SG
Marvin Williams\willima02,PF
Robert Williams\williro04,C
Troy Williams\willitr02,SF
D.J. Wilson\wilsodj01,PF
Justise Winslow\winslju01,SF
Christian Wood\woodch01,PF
Delon Wright\wrighde01,PG
Guerschon Yabusele\yabusgu01,PF
Nick Young\youngni01,SG
Thaddeus Young\youngth01,PF
Trae Young\youngtr01,PG
Cody Zeller\zelleco01,C
Tyler Zeller\zellety01,C
Ante Žižić\zizican01,C
Ivica Zubac\zubaciv01,C
